pid,mood_t0,mood_t1,belief_human,feel_human,waisr_task_1,waisr_task_2,waisr_bond_1,waisr_goal_1,waisr_bond_2,waisr_goal_2,waisr_bond_3,waisr_goal_3,waisr_bond_4,waisr_task_3,waisr_goal_4,waisr_task_4
67644c9e4a8508ec299135c5,2,6,4,6,Strong Agree,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Strong Disagree,Strong Agree,Strong Agree,Strong Agree
67580f69a9a3cb759240904b,6,7,1,3,Strong Agree,Strong Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strong Agree,Agree,Agree
672b2e8321750551265ac390,6,7,1,3,Agree,Strong Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree
66a63fbb0a4f33f35327ed8b,2,3,1,1,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree
66aa8dcfbc121dcef0433ecf,4,5,2,4,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree
6742f8bfd1cce3eadeee8c62,7,5,4,5,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree
6744d50e3bd8711b57216cd2,4,7,3,5,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
595d3afcdd044900012ce78a,5,6,1,4,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strong Agree,Agree,Strong Agree
6394a8f1f510b07aeaf465e0,4,4,1,2,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Neutral,Agree,Neutral,Strong Agree,Agree,Agree
672d2977ae54935ef84a2b74,4,7,4,7,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
6777bc5eec85e7e2afa09d77,3,6,2,6,Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree
668fa82eb6aad7177cb29ba0,4,5,1,5,Agree,Strong Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strong Agree,Agree
5f4fbebb8bb76c0c01881651,4,5,1,4,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral
638e2eed82fa613f2140ba13,4,6,1,3,Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Neutral,Strong Agree,Neutral,Agree,Agree,Neutral
677a5d8e2115bfbb2fa0c73c,3,5,1,4,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree
5a75b131eea3d300016ddc70,3,5,1,5,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree
5c4602713d08e80001369876,3,4,1,3,Agree,Agree,Agree,Strong Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree
66912ce354d84162615be8ba,3,5,2,2,Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree
5fef2fa9efea401f0b55a7c2,4,4,1,1,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Strong Agree
63f85b1c3124fd03faff2126,7,7,1,6,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree
677be7f32b827fb2ae1eb7f0,6,5,6,5,Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
6783379eb9fef4654886ead1,4,6,1,5,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree
59e7232f24d7bf00012f112e,2,3,3,5,Neutral,Agree,Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
675e8e92f5b7ffad57a265b1,3,4,4,3,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
675af02593fabc7398d6447e,2,6,1,1,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
5962a5b29955ee00015bce98,3,3,2,2,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree
66edea9d406f629b67ce30b8,5,4,2,2,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral
57c357770e6a1f00015f6038,5,6,4,5,Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral
6570824312e21ad0a49858f4,5,6,2,4,Agree,Strong Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
60537fdcda0ac05f1c59c57f,4,4,5,5,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
5c5ff87f8c0552000109d7de,5,6,2,2,Neutral,Agree,Agree,Neutral,Strong Agree,Agree,Strong Agree,Agree,Neutral,Agree,Agree,Agree
675e06422af6e9cb4bcbd459,5,6,5,7,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree
5b2bcfb51835660001cc6751,5,6,5,7,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
66084cde8c8b94db6ce51ac9,6,7,1,2,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
66cf306107ad4fcf4bef6f2f,3,5,2,2,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Strong Agree,Agree,Agree
5aafd9eff69e940001d88bf4,4,1,5,4,Disagree,Strong Disagree,Neutral,Strong Disagree,Neutral,Strong Disagree,Strong Disagree,Disagree,Neutral,Strong Disagree,Disagree,Disagree
66338f4346e84e4f0469bc21,4,5,4,4,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree
5cad1eef8ed53d00180d2532,4,5,1,1,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree
669d7d04ec742963733a5b35,2,5,5,5,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
6715013670bed7e4e955f109,7,7,6,7,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Neutral,Strong Agree,Agree,Strong Agree
67a688221058a62a9fa76a82,6,7,6,7,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree
6100105892a2248ae5d48498,4,4,1,3,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strong Disagree,Neutral,Strong Disagree
6630f6bfbdc7906ef7c0ee24,4,6,5,6,Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strong Agree,Strong Agree,Agree
67657ea1ad7558bf427f3a22,6,6,1,2,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree
66847cc7c67232fae11af5b3,5,6,4,6,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree
6709725953883fa2a8fe6957,5,7,2,5,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree
6738a38d5b42ebdad45239a4,7,7,5,5,Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree
62c5ebe612c40c7e32390bf6,4,5,1,1,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
5f653cb18aad310a9ee7c32d,2,3,1,2,Agree,Agree,Strong Agree,Agree,Neutral,Agree,Agree,Strong Agree,Neutral,Agree,Agree,Agree
677692c13cfeae70079e3caa,4,6,1,6,Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,Strong Agree,Agree,Agree
566feba6b937e400052d33b2,6,7,3,4,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
677299ebbff623812504a11d,5,6,1,5,Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree
6773e8418b4496160ace9137,3,4,1,1,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strong Agree,Neutral,Neutral,Agree,Neutral
5f514593ea1e87365b9cb05f,5,6,1,5,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree
67605cad2b91076c10846479,4,5,7,3,Agree,Strong Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strong Agree,Agree,Agree
63469da3cef76cc5b3523b97,4,5,1,4,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strong Agree
670ffdb6896bad5ab5d6f894,4,6,6,6,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree
57b4a771cda70d0001534835,3,1,1,1,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree
599442e6bf8bcf0001ab6857,4,5,4,5,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree
6777f8aafc72369e96bb6da6,4,4,1,1,Agree,Agree,Disagree,Disagree,Strong Agree,Strong Agree,Neutral,Strong Agree,Neutral,Agree,Agree,Agree
6772e1e5965ccca40d8cfba9,3,6,1,4,Agree,Strong Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Strong Agree
5c72f9bf8711bf000139c5ee,5,6,1,4,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
6788228f3fcc7c8b75b77522,4,5,3,3,Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Strong Agree
5a9c4b3d35237b000112a00e,4,5,1,2,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
670939463679b3968927066e,4,4,3,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral
640485331e13a7bfa4a43d46,6,6,1,2,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
6760c6a23c7512b7ca3383d0,6,7,1,3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree
5c59e12429f64c0001cc6436,5,4,1,1,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Strong Disagree,Disagree
5db7203e98ecdf000ae8d504,4,5,1,3,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
59d3b07947f4e80001a6c551,3,6,1,6,Strong Agree,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree
60d3867b6e7529fc77032b54,4,5,1,3,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree
577a3dfd92c50c0001c9488f,3,4,1,1,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
6697864e364c6864275e4a17,4,6,1,6,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree
